Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,26.659,27.483,27.211,26.913,26.582,26.205,25.92,25.58,25.192,24.824,24.407,23.906,23.436,23.004,22.61,22.884,22.842,22.571,22.227,21.936,21.71,21.462,21.247,21.979,21.788,21.576,21.429,22.934,22.387,22.161,21.993,20.475,21.634,21.41,20.352,18.826,18.635,18.367,19.106,18.701,18.287,17.789,17.275,15.804,15.151,14.497,13.943,13.133,12.478,11.788,11.177,10.63,10.031,9.607,9.181,8.826,8.555,8.242,7.99,7.811,7.821,8.009,..,..,..,7.159,..,..,..,..,6.807,..,..,..,..,6.56,..,..,..,..,6.385,..,..,..,..,6.277,..,..,..,..,6.233
Angola,AGO,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,39.918,40.097,40.399,40.665,40.99,41.384,41.656,42.019,42.454,42.8,43.182,43.5,43.809,44.22,44.596,44.353,44.412,44.68,45.035,45.361,45.608,45.864,46.133,45.435,45.698,45.912,46.037,44.724,45.155,45.33,45.453,46.807,45.484,46.578,47.499,47.829,47.96,48.279,47.618,48.478,48.561,49.606,49.896,51.674,52.657,53.634,54.518,55.815,56.734,57.967,59.039,59.869,61.024,61.684,62.472,63.094,63.434,64.019,64.717,64.922,64.982,64.307,..,..,..,66.176,..,..,..,..,67.159,..,..,..,..,68.06,..,..,..,..,68.93,..,..,..,..,69.747,..,..,..,..,70.532
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,38.211,37.267,37.539,37.824,38.131,38.495,38.757,39.092,39.484,39.829,40.19,40.554,40.905,41.27,41.652,41.191,41.163,41.437,41.83,42.175,42.449,42.772,43.051,42.092,42.353,42.648,42.843,40.917,41.545,41.765,41.893,43.813,42.209,42.101,43.422,45.849,46.033,46.306,45.057,45.386,46.024,46.59,47.386,49.617,50.592,51.57,52.369,53.642,54.633,55.752,56.726,57.596,58.623,59.307,60.04,60.655,61.092,61.68,62.144,62.448,62.261,61.643,..,..,..,63.621,..,..,..,..,64.529,..,..,..,..,65.363,..,..,..,..,66.159,..,..,..,..,66.896,..,..,..,..,67.612
Angola,AGO,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,473.846,543.464,542.759,540.674,539.104,536.085,536.275,533.971,530.59,527.777,525.074,521.007,517.812,515.749,511.698,531.136,537.501,536.039,529.682,524.792,521.651,515.358,513.248,541.646,539.274,533.556,530.007,582.573,566.657,561.656,559.379,508.697,544.587,587.898,553.672,437.717,433.677,432.576,477.222,495.987,469.15,481.08,454.962,409.718,400.21,391.77,389.257,376.381,367.605,359.053,353.366,345.748,337.853,332.765,326.818,321.296,316.08,308.611,308.888,305.594,313.481,331.364,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,130.8,129.4,127.8,126.3,125.1,124.1,123.4,123,122.7,122.5,122.5,122.4,122.4,122.3,121.8,121.1,120.2,118.7,116.9,114.5,111.7,108.5,104.9,100.8,96.2,91.6,86.7,81.7,77.1,72.4,67.9,63.9,60.1,56.8,53.9,51.6,49.6,47.9,46.3,44.6,43.2,41.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.7,53.8,53.9,53.9,53.9,53.8,53.7,53.4,52.9,52.3,51.4,50.5,49.4,48.1,46.7,45.2,43.7,42.2,40.6,39.1,37.8,36.6,35.3,34,32.8,31.7,30.7,30,29.2,28.5,27.9,27.3,26.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,226.9,224.3,221.5,218.8,217,215.1,213.7,213.2,212.4,212.1,211.8,211.7,211.8,211.6,211,209.9,208.3,205.7,202.4,198.1,192.9,187,180.4,172.7,164.3,155.4,146.3,137.1,127.9,119.3,111.2,103.7,96.7,90.7,85.5,81.2,77.4,74.3,71.4,68.8,65.8,63.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Net migration,SM.POP.NETM,-43749,-49186,-54566,-59777,-71948,-87288,-104955,-113780,-111222,-81748,-36455,3219,35014,40182,39146,38725,35245,44937,45001,47175,53078,52138,55830,61000,57744,54953,47774,46192,47815,46755,47663,33925,39196,38883,45272,40855,45356,49960,51856,51687,53527,56959,60505,59438,66585,64009,70170,73940,73804,77265,90016,94709,96056,91528,84532,74170,91623,77733,61632,58986,7557,29089,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
Angola,AGO,Number of deaths ages 10-19 years,SH.DTH.1019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11660,11288,12584,12168,12633,13108,13578,14010,14404,14757,15056,15281,15437,15512,15484,15373,15198,14958,14677,14390,14112,13874,13650,13476,13400,13400,13470,13606,13770,13949,14110,14283,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Number of deaths ages 20-24 years,SH.DTH.2024,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7595,7760,7914,8085,8274,8510,8777,9049,9311,9552,9772,9969,10149,10313,10440,10542,10605,10625,10609,10564,10494,10428,10340,10256,10209,10190,10195,10248,10307,10371,10440,10517,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
